timestamp,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,position_lat_degrees,position_long_degrees
2019-11-01 20:12:03,,0.0,281.6,0.0,,84.0,504424439.0,-999065791.0,,2019-11-01 20:12:03,42.280368050560355,-83.74072722159326
2019-11-01 20:12:04,,0.0,281.6,0.0,,84.0,504424439.0,-999065791.0,,2019-11-01 20:12:04,42.280368050560355,-83.74072722159326
2019-11-01 20:12:07,,0.0,281.6,0.0,,87.0,504424439.0,-999065791.0,,2019-11-01 20:12:07,42.280368050560355,-83.74072722159326
2019-11-01 20:12:08,,0.32,281.6,1.036,,88.0,504424447.0,-999065835.0,,2019-11-01 20:12:08,42.28036872111261,-83.74073090963066
2019-11-01 20:12:10,,3.3,281.7999999999999,2.9760000000000004,,89.0,504424476.0,-999066382.0,,2019-11-01 20:12:10,42.28037115186453,-83.740776758641
2019-11-01 20:12:11,,7.27,281.7999999999999,3.975,,90.0,504424526.0,-999066834.0,,2019-11-01 20:12:11,42.280375342816114,-83.74081464484334
2019-11-01 20:12:16,23.0,17.76,280.6,0.0,0.0,88.0,504424918.0,-999068374.0,,2019-11-01 20:12:16,42.28040819987655,-83.74094372615218
2019-11-01 20:12:20,0.0,17.76,280.4,0.0,0.0,91.0,504424781.0,-999068427.0,,2019-11-01 20:12:20,42.2803967166692,-83.74094816856086
2019-11-01 20:12:22,0.0,17.76,281.0,0.0,0.0,91.0,504424850.0,-999068448.0,,2019-11-01 20:12:22,42.28040250018239,-83.74094992876053
2019-11-01 20:12:26,5.0,19.42,282.4,1.157,0.0,91.0,504424939.0,-999068749.0,,2019-11-01 20:12:26,42.28040996007621,-83.74097515828907
2019-11-01 20:12:27,5.0,20.58,282.6,1.157,0.0,91.0,504424981.0,-999068821.0,,2019-11-01 20:12:27,42.280413480475545,-83.74098119325936
2019-11-01 20:12:33,26.0,30.07,285.4,2.958,0.0,87.0,504425325.0,-999069117.0,,2019-11-01 20:12:33,42.280442314222455,-83.74100600369275
2019-11-01 20:12:35,58.0,38.2,286.7999999999999,4.18,0.0,87.0,504425625.0,-999069167.0,,2019-11-01 20:12:35,42.28046745993197,-83.74101019464433
2019-11-01 20:12:37,66.0,47.81,288.6,5.252999999999999,0.0,84.0,504426441.0,-999069239.0,,2019-11-01 20:12:37,42.28053585626185,-83.74101622961462
2019-11-01 20:12:38,74.0,53.63,290.0,5.822,0.0,82.0,504426978.0,-999069265.0,,2019-11-01 20:12:38,42.28058086708188,-83.74101840890944
2019-11-01 20:12:40,84.0,66.77,292.4,6.877000000000001,0.0,84.0,504428190.0,-999069422.0,,2019-11-01 20:12:40,42.28068245574832,-83.74103156849742
2019-11-01 20:12:41,83.0,74.05,293.6,7.269,0.0,85.0,504429098.0,-999069389.0,,2019-11-01 20:12:41,42.28075856342912,-83.74102880246937
2019-11-01 20:12:42,83.0,81.69,294.6,7.642,0.0,88.0,504429936.0,-999069277.0,,2019-11-01 20:12:42,42.280828803777695,-83.74101941473782
2019-11-01 20:12:44,73.0,97.41,295.7999999999999,7.922000000000001,0.0,93.0,504431544.0,-999068972.0,,2019-11-01 20:12:44,42.28096358478069,-83.74099384993315
2019-11-01 20:12:45,73.0,105.57,296.2000000000001,8.155,0.0,95.0,504432376.0,-999068902.0,,2019-11-01 20:12:45,42.28103332221508,-83.74098798260093
2019-11-01 20:12:46,77.0,113.87,296.4,8.304,0.0,98.0,504433509.0,-999068821.0,,2019-11-01 20:12:46,42.281128289178014,-83.74098119325936
2019-11-01 20:12:47,77.0,122.4,296.4,8.527999999999999,0.0,101.0,504434527.0,-999068795.0,,2019-11-01 20:12:47,42.2812136169523,-83.74097901396453
2019-11-01 20:12:48,82.0,130.39,296.2000000000001,7.978,0.0,104.0,504435619.0,-999068676.0,,2019-11-01 20:12:48,42.28130514733493,-83.74096903949976
2019-11-01 20:12:50,26.0,144.75,295.4,6.961,0.0,108.0,504437521.0,-999068610.0,,2019-11-01 20:12:50,42.281464571133256,-83.74096350744367
2019-11-01 20:12:51,72.0,150.18,295.0,5.43,0.0,110.0,504438321.0,-999068603.0,,2019-11-01 20:12:51,42.28153162635863,-83.74096292071044
2019-11-01 20:12:54,15.0,162.22,293.0,3.7230000000000003,0.0,113.0,504440096.0,-999068651.0,,2019-11-01 20:12:54,42.28168040513992,-83.74096694402397
2019-11-01 20:12:55,15.0,166.46,292.6,4.245,0.0,114.0,504440485.0,-999068640.0,,2019-11-01 20:12:55,42.28171301074326,-83.74096602201462
2019-11-01 20:13:00,67.0,185.48,288.7999999999999,3.266,0.0,111.0,504442381.0,-999068546.0,,2019-11-01 20:13:00,42.28187193162739,-83.74095814302564
2019-11-01 20:13:03,64.0,198.43,285.4,5.113,0.0,109.0,504443703.0,-999068463.0,,2019-11-01 20:13:03,42.28198274038732,-83.740951186046
